token	corpus size	all contexts size	frequency	co-frequency	specificity
장애인	29603	12835	117	95	16.43
에너지	29603	12835	56	53	15.56
자립지원	29603	12835	82	69	13.64
보호	29603	12835	71	59	11.29
지역사회	29603	12835	29	29	10.53
자립준비청년	29603	12835	65	54	10.38
경제적	29603	12835	40	37	10.19
경기도	29603	12835	49	43	9.96
조	29603	12835	38	35	9.53
준비청년	29603	12835	26	26	9.44
지원	29603	12835	123	87	9.31
종료	29603	12835	37	34	9.20
수립	29603	12835	26	25	7.91
제	29603	12835	49	40	7.44
당사자	29603	12835	20	20	7.26
대구사람장애인	29603	12835	19	19	6.90
자립준비	29603	12835	23	22	6.87
아동	29603	12835	41	34	6.72
생활센터	29603	12835	18	18	6.54
협의체는	29603	12835	18	18	6.54
학년	29603	12835	18	18	6.54
자립정착금	29603	12835	17	17	6.17
2021	29603	12835	17	17	6.17
명	29603	12835	39	32	6.16
아동복지시설	29603	12835	24	22	6.04
보호종료	29603	12835	45	35	5.67
회	29603	12835	45	35	5.67
대상	29603	12835	42	33	5.56
파악	29603	12835	15	15	5.45
생활	29603	12835	30	25	5.16
자립준비청년협회	29603	12835	14	14	5.08
개별	29603	12835	21	19	5.07
전근배	29603	12835	32	26	4.96
위탁	29603	12835	17	16	4.83
아동을	29603	12835	17	16	4.83
사무국장	29603	12835	26	22	4.80
만	29603	12835	76	51	4.80
아나운서	29603	12835	23	20	4.75
사례관리회의	29603	12835	13	13	4.72
이상	29603	12835	31	25	4.69
년	29603	12835	124	76	4.64
바탕으로	29603	12835	25	21	4.51
가정위탁	29603	12835	16	15	4.49
39	29603	12835	16	15	4.49
김혜숙	29603	12835	22	19	4.45
지원정책	29603	12835	12	12	4.36
자립면담	29603	12835	12	12	4.36
자립준비청년의	29603	12835	15	14	4.15
지급	29603	12835	15	14	4.15
정서적	29603	12835	18	16	4.12
효율적인	29603	12835	18	16	4.12
장애인의	29603	12835	36	27	4.05
높이기	29603	12835	11	11	3.99
아동들의	29603	12835	11	11	3.99
