token	corpus size	all contexts size	frequency	co-frequency	specificity
нацыянальна-культурная	175444	1155	18	15	29.86
такое	175444	1155	100	12	11.43
аўтокефалія	175444	1155	4	4	8.73
самастойнае	175444	1155	14	5	7.64
была	175444	1155	217	12	7.56
свабоднае	175444	1155	7	4	7.19
кантэксце	175444	1155	8	4	6.89
ажыццяўляецца	175444	1155	3	3	6.55
фэдэральная	175444	1155	3	3	6.55
патрэбна	175444	1155	22	5	6.54
царквы	175444	1155	43	6	6.42
асобных	175444	1155	11	4	6.23
культур	175444	1155	12	4	6.06
палітычная	175444	1155	12	4	6.06
надавалася	175444	1155	4	3	5.95
дэ	175444	1155	4	3	5.95
вялікабрытаніі	175444	1155	5	3	5.55
праваслаўнай	175444	1155	18	4	5.28
функцыянаванне	175444	1155	6	3	5.25
варунках	175444	1155	21	4	5.00
існуе	175444	1155	24	4	4.76
формах	175444	1155	9	3	4.64
autonomia	175444	1155	2	2	4.36
ацэньвацца	175444	1155	2	2	4.36
шырокая	175444	1155	2	2	4.36
розную	175444	1155	2	2	4.36
рэдагаваць	175444	1155	2	2	4.36
федэральная	175444	1155	2	2	4.36
рэспублікам	175444	1155	2	2	4.36
гарадзкой	175444	1155	2	2	4.36
тэрытарыяльная	175444	1155	2	2	4.36
магчыма	175444	1155	33	4	4.20
грэч	175444	1155	3	2	3.89
autos	175444	1155	3	2	3.89
швейцарыі	175444	1155	3	2	3.89
абмяркоўваць	175444	1155	3	2	3.89
кантралюе	175444	1155	3	2	3.89
беларусаў	175444	1155	232	8	3.84
краінах	175444	1155	17	3	3.75
расеі	175444	1155	43	4	3.75
nomos	175444	1155	4	2	3.59
супольнасцей	175444	1155	4	2	3.59
тэхнічнага	175444	1155	4	2	3.59
будуецца	175444	1155	4	2	3.59
царкоўная	175444	1155	4	2	3.59
смаленскай	175444	1155	4	2	3.59
звычайна	175444	1155	20	3	3.54
вось	175444	1155	94	5	3.43
ажыццяўленне	175444	1155	5	2	3.37
сілезія	175444	1155	5	2	3.37
мелітопаля	175444	1155	5	2	3.37
нацыянальнымі	175444	1155	23	3	3.35
ці	175444	1155	280	8	3.31
змену	175444	1155	6	2	3.20
сьмерці	175444	1155	6	2	3.20
аўтаномным	175444	1155	6	2	3.20
этнічных	175444	1155	27	3	3.15
тэрмін	175444	1155	29	3	3.06
тэрміна	175444	1155	7	2	3.06
разуменні	175444	1155	8	2	2.93
з'ява	175444	1155	9	2	2.83
акумулятар	175444	1155	36	3	2.79
дзяржавамі	175444	1155	10	2	2.73
акругі	175444	1155	10	2	2.73
развіццё	175444	1155	38	3	2.72
б	175444	1155	281	7	2.65
функцыя	175444	1155	11	2	2.65
прынцыпу	175444	1155	11	2	2.65
ўяўляе	175444	1155	12	2	2.57
адказнасці	175444	1155	12	2	2.57
рызыкі	175444	1155	12	2	2.57
рамках	175444	1155	12	2	2.57
правіла	175444	1155	13	2	2.50
свету	175444	1155	48	3	2.44
пункту	175444	1155	15	2	2.38
гледжання	175444	1155	15	2	2.38
што	175444	1155	1925	22	2.31
нац	175444	1155	17	2	2.27
закон	175444	1155	18	2	2.22
як	175444	1155	1048	14	2.21
знікла	175444	1155	1	1	2.18
гітлераўцаў	175444	1155	1	1	2.18
шэсця	175444	1155	1	1	2.18
жоўта-блакітныя	175444	1155	1	1	2.18
надпісамі	175444	1155	1	1	2.18
скандавалі	175444	1155	1	1	2.18
сепаратысты	175444	1155	1	1	2.18
востраў-курорт	175444	1155	1	1	2.18
ператвараецца	175444	1155	1	1	2.18
геапалітычны	175444	1155	1	1	2.18
тубыльцаў	175444	1155	1	1	2.18
супольнасьцямі	175444	1155	1	1	2.18
нацыянальна-тэрытарыяльнага	175444	1155	1	1	2.18
ажыцьцяўляць	175444	1155	1	1	2.18
функцыянаваньне	175444	1155	1	1	2.18
кіраваньня	175444	1155	1	1	2.18
код	175444	1155	1	1	2.18
тамах	175444	1155	1	1	2.18
пашкоў	175444	1155	1	1	2.18
белэн	175444	1155	1	1	2.18
румынскай	175444	1155	1	1	2.18
выглядаем	175444	1155	1	1	2.18
пасьпяховая	175444	1155	1	1	2.18
гісторыка-культурных	175444	1155	1	1	2.18
каштоўнасцей	175444	1155	1	1	2.18
фонды	175444	1155	1	1	2.18
абвесьціла	175444	1155	1	1	2.18
суб'ектах	175444	1155	1	1	2.18
стваралася	175444	1155	1	1	2.18
публіцыстыка	175444	1155	1	1	2.18
зьнішчаны	175444	1155	1	1	2.18
книга	175444	1155	1	1	2.18
лесика	175444	1155	1	1	2.18
распространению	175444	1155	1	1	2.18
шовіністіческого	175444	1155	1	1	2.18
характера	175444	1155	1	1	2.18
язэпам	175444	1155	1	1	2.18
скажа	175444	1155	1	1	2.18
зьездах	175444	1155	1	1	2.18
выслаўляліся	175444	1155	1	1	2.18
сэнсі	175444	1155	1	1	2.18
але-ж	175444	1155	1	1	2.18
цямнаце	175444	1155	1	1	2.18
запэўніць	175444	1155	1	1	2.18
хлебаробу	175444	1155	1	1	2.18
пралетарыю	175444	1155	1	1	2.18
ацэнена	175444	1155	1	1	2.18
нададзеная	175444	1155	1	1	2.18
абласцям	175444	1155	1	1	2.18
акругам	175444	1155	1	1	2.18
нацыянальна-тэрытарыяльнымі	175444	1155	1	1	2.18
часткак	175444	1155	1	1	2.18
сугучную	175444	1155	1	1	2.18
кацярынай	175444	1155	1	1	2.18
раманавай	175444	1155	1	1	2.18
энергетычная	175444	1155	1	1	2.18
вырабленая	175444	1155	1	1	2.18
спажываная	175444	1155	1	1	2.18
штомесячная	175444	1155	1	1	2.18
энергазабеспячэнне	175444	1155	1	1	2.18
падбіраць	175444	1155	1	1	2.18
рэальнымі	175444	1155	1	1	2.18
балансуючы	175444	1155	1	1	2.18
з’яўляліся	175444	1155	1	1	2.18
бельгіі	175444	1155	1	1	2.18
самаст	175444	1155	1	1	2.18
этн	175444	1155	1	1	2.18
унутр	175444	1155	1	1	2.18
прафесіяналы	175444	1155	1	1	2.18
фрылансеры	175444	1155	1	1	2.18
міжгарадскія	175444	1155	1	1	2.18
змешваюць	175444	1155	1	1	2.18
кальцавыя	175444	1155	1	1	2.18
суб'ект	175444	1155	1	1	2.18
установа	175444	1155	1	1	2.18
закліканае	175444	1155	1	1	2.18
плошчаў	175444	1155	1	1	2.18
участкаў	175444	1155	1	1	2.18
падвышаная	175444	1155	1	1	2.18
прадвызначыў	175444	1155	1	1	2.18
кантэкст	175444	1155	1	1	2.18
нацыянальна-тэрытарыяльная	175444	1155	1	1	2.18
схлыне	175444	1155	1	1	2.18
ніхай	175444	1155	1	1	2.18
векі	175444	1155	1	1	2.18
тэрыторыальная	175444	1155	1	1	2.18
гісто-рык	175444	1155	1	1	2.18
емяльянчык	175444	1155	1	1	2.18
беларуска-літоўскіх	175444	1155	1	1	2.18
скла-дзе	175444	1155	1	1	2.18
зменшана	175444	1155	1	1	2.18
імператару	175444	1155	1	1	2.18
банапарту	175444	1155	1	1	2.18
расійскаму	175444	1155	1	1	2.18
краявая	175444	1155	1	1	2.18
патраба-ваннем	175444	1155	1	1	2.18
дзяржаўна-тэрытарыяльная	175444	1155	1	1	2.18
спрошчаным	175444	1155	1	1	2.18
старажытнагрэцкім	175444	1155	1	1	2.18
экстэрытарыяльнасць	175444	1155	1	1	2.18
паняццем	175444	1155	1	1	2.18
суполкамі	175444	1155	1	1	2.18
прадастаўляе	175444	1155	1	1	2.18
крымская	175444	1155	1	1	2.18
плоскасці	175444	1155	1	1	2.18
распаўсюджана	175444	1155	1	1	2.18
падрабязней	175444	1155	1	1	2.18
разбярэмся	175444	1155	1	1	2.18
329	175444	1155	1	1	2.18
фальшывая	175444	1155	1	1	2.18
трактаваліся	175444	1155	1	1	2.18
энергаблок	175444	1155	1	1	2.18
734	175444	1155	1	1	2.18
бяспекі	175444	1155	19	2	2.18
рэгіёну	175444	1155	19	2	2.18
забеспячэння	175444	1155	21	2	2.10
жыцьця	175444	1155	21	2	2.10
ёмістасць	175444	1155	21	2	2.10
якіх	175444	1155	127	4	2.07
самастойнасць	175444	1155	22	2	2.06
расіі	175444	1155	207	5	2.01
палітычны	175444	1155	25	2	1.95
сцягі	175444	1155	2	1	1.88
транспаранты	175444	1155	2	1	1.88
верхняя	175444	1155	2	1	1.88
чыннік	175444	1155	2	1	1.88
кіраваньне	175444	1155	2	1	1.88
супольнасьцяў	175444	1155	2	1	1.88
аўтакефалія	175444	1155	2	1	1.88
рэгіянальнай	175444	1155	2	1	1.88
вугорская	175444	1155	2	1	1.88
заяўляюць	175444	1155	2	1	1.88
цэласнасць	175444	1155	2	1	1.88
зьберажэньня	175444	1155	2	1	1.88
рнка	175444	1155	2	1	1.88
перадала	175444	1155	2	1	1.88
адзначала	175444	1155	2	1	1.88
запрещена	175444	1155	2	1	1.88
найбольшая	175444	1155	2	1	1.88
адноўленая	175444	1155	2	1	1.88
адміністрацыйная	175444	1155	2	1	1.88
значных	175444	1155	2	1	1.88
юдэі	175444	1155	2	1	1.88
неабходная	175444	1155	2	1	1.88
адм	175444	1155	2	1	1.88
сутыкаюцца	175444	1155	2	1	1.88
фактычнае	175444	1155	2	1	1.88
гастролях	175444	1155	2	1	1.88
зацверджаным	175444	1155	2	1	1.88
ёмісты	175444	1155	2	1	1.88
адміністрацыйнае	175444	1155	2	1	1.88
суверэнітэтам	175444	1155	2	1	1.88
развіваць	175444	1155	2	1	1.88
кітая	175444	1155	2	1	1.88
унітарных	175444	1155	2	1	1.88
дзяржавах	175444	1155	2	1	1.88
гаспадарскае	175444	1155	2	1	1.88
патрэбнае	175444	1155	2	1	1.88
напалеону	175444	1155	2	1	1.88
калегу	175444	1155	2	1	1.88
праграмным	175444	1155	2	1	1.88
трактовак	175444	1155	2	1	1.88
культурна-нацыянальная	175444	1155	2	1	1.88
вырашаюцца	175444	1155	2	1	1.88
супярэчнасцей	175444	1155	2	1	1.88
часовыя	175444	1155	2	1	1.88
482	175444	1155	2	1	1.88
ў	175444	1155	3470	32	1.87
нам	175444	1155	83	3	1.81
адзначыць	175444	1155	30	2	1.81
беларусі	175444	1155	634	9	1.80
межах	175444	1155	31	2	1.78
верхняй	175444	1155	3	1	1.71
прававы	175444	1155	3	1	1.71
прадаецца	175444	1155	3	1	1.71
адміністрацыйна-тэрытарыяльнага	175444	1155	3	1	1.71
даецца	175444	1155	3	1	1.71
ўтварэньня	175444	1155	3	1	1.71
рэалізавана	175444	1155	3	1	1.71
xii	175444	1155	3	1	1.71
лёсікам	175444	1155	3	1	1.71
нідавумству	175444	1155	3	1	1.71
пазначана	175444	1155	3	1	1.71
найвышэйшае	175444	1155	3	1	1.71
палестынская	175444	1155	3	1	1.71
фэдэральнай	175444	1155	3	1	1.71
разлічваецца	175444	1155	3	1	1.71
параўноўваецца	175444	1155	3	1	1.71
