özerklik	Gagavuzya çatışmaları (Gagavuzca: Gagauziya çatışmaları; Rumence: Conflictul din Găgăuzia), Moldova SSC'si ile (sonradan bağımsız Moldova Cumhuriyeti) ve Moldova'da daha fazla	özerklik	isteyen Gagavuz nüfusu arasında bir çatışmaydı. Sovyetler Birliği içinde kalmak amacıyla Moldova'dan ayrı Gagavuz Cumhuriyeti'nin ilanıyla doruğa ulaştı; ancak Sovyetler
özerklik	("Gagavuz Halkı") adlı siyasi oluşumun önderliğinde yeni ortaya çıkan Gagavuz ulusal hareketi, Gagavuz halkını ve onların çıkarlarını korumak için bölgesel	özerkliği	gerekli olduğunu düşünmeye başladı. Benzer bir durum Moldavya'nın bugün Transdinyester olarak bilinen Dinyester nehrinin doğu yakasında da gelişti. [1] Gagavuz
özerklik	gerekli olduğunu düşünmeye başladı. Benzer bir durum Moldavya'nın bugün Transdinyester olarak bilinen Dinyester nehrinin doğu yakasında da gelişti. [1] Gagavuz	özerklik	yanlılarının talepleri karşısında, Moldova Sovyet Sosyalist Cumhuriyeti Yüksek Sovyeti, Gagavuzların bölgesel özerkliği konusunu incelemek üzere Gagavuz Halkı'nın temsilcilerinden oluşan bir
özerklik	Dinyester nehrinin doğu yakasında da gelişti. [1] Gagavuz özerklik yanlılarının talepleri karşısında, Moldova Sovyet Sosyalist Cumhuriyeti Yüksek Sovyeti, Gagavuzların bölgesel	özerkliği	konusunu incelemek üzere Gagavuz Halkı'nın temsilcilerinden oluşan bir komisyon kurdu. Moldova SSC'si içinde var olacak Gagavuz Özerk Sovyet Sosyalist Cumhuriyeti,
özerklik	bir komisyon kurdu. Moldova SSC'si içinde var olacak Gagavuz Özerk Sovyet Sosyalist Cumhuriyeti, 12 Kasım 1989'da Moldova Yüksek Sovyeti'ne Gagavuz	özerkliğini	kabul etmesi yönünde baskı yapmak amacıyla ilan edildi, ancak ikincisi bu bildirgeyi bozarak yasa dışı ilan etti. 27 Temmuz 1990'da,
özerklik	ancak ikincisi bu bildirgeyi bozarak yasa dışı ilan etti. 27 Temmuz 1990'da, artık Halk Cephesi liderliğindeki Moldavya Yüksek Sovyeti, Gagavuzların	özerklik	taleplerini resmen reddetti. Bu kararla karşı karşıya kalan Gagauz temsilcileri, 19 Ağustos 1990'da Moldova SSC'den ayrılarak Gagavuz Cumhuriyeti'ni (hala Sovyetler
özerklik	her iki tarafta da ılımlı, uzlaşmacı güçlerin lehine oldu. [2] 1994 Moldova parlamento seçimleri, Moldova'daki etnik azınlıklardan herhangi birine bölgesel	özerklik	verilmesine veya ülkenin federalleştirilmesine şiddetle karşı çıkan Halk Cephesi yönetiminin sonunu getirdi. Böylece Tarım Partisi'nin seçimlerde kazandığı zaferin ardından 1994
özerklik	Moldova'nın mevcut anayasası kabul edildi. Moldova anayasasının 111. maddesi "Dinyester'in sol yakasındaki yerlere" ve "Moldova Cumhuriyeti'nin güneyindeki diğer bazı yerlere"	özerklik	hakkını tesis ediyor; bu nihayet Gagavuzlara, büyük ölçüde 1992'den bu yana devam eden müzakereler sonucunda hazırlanmış bir özerklik statüsü verilmesine
özerklik	bazı yerlere" özerklik hakkını tesis ediyor; bu nihayet Gagavuzlara, büyük ölçüde 1992'den bu yana devam eden müzakereler sonucunda hazırlanmış bir	özerklik	statüsü verilmesine olanak sağladı [2] 23 Aralık 1994'te Moldova Parlamentosu "Gagavuzya'nın (Gagavuz-Yeri) Özel Hukuki Statüsüne İlişkin Kanun"u kabul etti (Rumence:
özerklik	Kanun"u kabul etti (Rumence: Legea privind statutul juridic special al Găgăuziei (Gagauz-Yeri)), [2] 14 Ocak 1995'te yürürlüğe girerek modern Gagavuzya'nın	özerkliğini	yasal olarak resmîleştirdi. [2] 5 Mart 1995'te, Moldova'nın 36 bölgesinde referandum yapıldı; burada ya Gagauzlar nüfusun %50'sinden fazlasını oluşturuyordu ya
